X,Y,NAME,ADDRESS,BOROCODE,CITY,CROSS1,CROSS2,ZIP,ACCESSIBLE,ACC_FEAT
1033758,207102,Townsend Harris HS,149-11 Melbourne Avenue,4,Flushing,149 Street,150 Street,11367,Y,"The main/accessible entrance to this location for sheltering purposes is on 149th Street (Close to the intersection with Melbourne Avenue)"
1038959,197888,Hillcrest HS,160-05 Highland Avenue,4,Jamaica,Parsons Blvd,162 Street,11432,N,""
1043802,197174,PS - IS 268,92-07 175 Street,4,Jamaica,Jamaica Avenue,93 Avenue,11433,Y,"The main/accessible entrance to this location for sheltering purposes is 92-07 175th Street, Queens (Close to the intersection with Jamaica Avenue)"
1042504,218055,JHS 25,34-65 192 Street,4,Flushing,34 Avenue,35 Avenue,11355,N,""
1048876,210783,IS 74,61-15 Oceania Street,4,Oakland Gardens,Horace Harding Expy,210 Street,11362,N,""
1059380,210622,Queens HS of Teach., Lib. Arts & Sci.,74-20 Commonwealth Boulevard,4,Bellerose,Grand Central Pkwy,76 Avenue,11426,Y,"The main/accessible entrance to this location for sheltering purposes is 74-20 Commonwealth Boulevard, Queens (Close to the intersection with Cross Island Parkway and Grand Central Parkway)"
1006480,243683,PS - IS 218,1220 Gerard Avenue,2,Bronx,E 167 Street,E 168 Street,10452,Y,"The main/accessible entrance to this location for sheltering purposes is 1220 Gerard Avenue, Bronx (Close to the intersection with East 167th Street)"
1021341,244567,PS 102,1827 Archer St,2,Bronx,Taylor Avenue,Thieriot Avenue,10460,N,""
1014707,246722,PS 211,1919 Prospect Avenue,2,Bronx,E 176 Street,East Tremont Avenue,10457,N,""
1008935,249476,PS 306,40 West Tremont Avenue,2,Bronx,W 177 Street,Jerome Avenue,10453,N,""
1012680,250590,IS 391,2225 Webster Avenue,2,Bronx,E 180 Street,E 182 Street,10457,N,""
1004668,251007,George Washington Educational Campus,549 Audobon Avenue,1,New York,Ft George Avenue,W 190 Street,10040,N,""
1012717,256344,Walton HS,2780 Reservoir Avenue,2,Bronx,W 195 Street,Strong Street,10468,N,""
